STATIONS_ID,MESS_DATUM,QN_9,TT_TU,RF_TU
1684,2016072100,3,15.9,88.0
1684,2016072101,3,15.3,94.0
1684,2016072102,3,14.4,97.0
1684,2016072103,3,14.4,94.0
1684,2016072104,3,13.9,98.0
1684,2016072105,3,16.4,90.0
1684,2016072106,3,19.2,76.0
1684,2016072107,3,21.4,69.0
1684,2016072108,3,23.1,63.0
1684,2016072109,3,25.1,60.0
1684,2016072110,3,24.9,57.0
1684,2016072111,3,25.0,58.0
1684,2016072112,3,23.8,63.0
1684,2016072113,3,24.8,59.0
1684,2016072114,3,24.4,58.0
1684,2016072115,3,23.6,63.0
1684,2016072116,3,23.2,67.0
1684,2016072117,3,22.7,69.0
1684,2016072118,3,22.2,71.0
1684,2016072119,3,21.4,75.0
1684,2016072120,3,19.7,83.0
1684,2016072121,3,18.6,89.0
1684,2016072122,3,18.0,91.0
1684,2016072123,3,18.2,92.0
1684,2016072200,3,16.8,96.0
1684,2016072201,3,16.0,98.0
1684,2016072202,3,17.0,98.0
1684,2016072203,3,16.5,98.0
1684,2016072204,3,16.6,97.0
1684,2016072205,3,17.9,93.0
1684,2016072206,3,19.7,83.0
1684,2016072207,3,21.7,78.0
1684,2016072208,3,21.8,77.0
1684,2016072209,3,24.2,70.0
1684,2016072210,3,25.8,61.0
1684,2016072211,3,25.7,56.0
1684,2016072212,3,27.3,48.0
1684,2016072213,3,26.5,47.0
1684,2016072214,3,27.1,46.0
1684,2016072215,3,28.3,40.0
1684,2016072216,3,27.7,40.0
1684,2016072217,3,27.1,42.0
1684,2016072218,3,25.5,47.0
1684,2016072219,3,22.9,57.0
1684,2016072220,3,21.2,62.0
1684,2016072221,3,19.2,62.0
1684,2016072222,3,18.9,58.0
1684,2016072223,3,18.7,56.0
1684,2016072300,3,15.6,75.0
1684,2016072301,3,15.6,73.0
1684,2016072302,3,14.8,77.0
1684,2016072303,3,13.5,85.0
1684,2016072304,3,14.8,80.0
1684,2016072305,3,16.8,79.0
1684,2016072306,3,19.2,62.0
1684,2016072307,3,21.4,60.0
1684,2016072308,3,22.7,52.0
1684,2016072309,3,23.4,47.0
1684,2016072310,3,24.7,49.0
1684,2016072311,3,26.3,45.0
1684,2016072312,3,26.2,46.0
1684,2016072313,3,26.7,47.0
1684,2016072314,3,26.9,47.0
1684,2016072315,3,27.2,45.0
1684,2016072316,3,26.6,46.0
1684,2016072317,3,24.9,58.0
1684,2016072318,3,23.4,62.0
1684,2016072319,3,22.1,67.0
1684,2016072320,3,21.1,72.0
1684,2016072321,3,20.1,78.0
1684,2016072322,3,19.2,82.0
1684,2016072323,3,18.7,83.0
1684,2016072400,3,18.3,84.0
1684,2016072401,3,17.8,90.0
1684,2016072402,3,17.1,95.0
1684,2016072403,3,16.8,96.0
1684,2016072404,3,16.7,98.0
1684,2016072405,3,16.7,99.0
1684,2016072406,3,17.0,98.0
1684,2016072407,3,17.5,99.0
1684,2016072408,3,17.6,98.0
1684,2016072409,3,18.7,94.0
1684,2016072410,3,19.7,91.0
1684,2016072411,3,20.3,87.0
1684,2016072412,3,20.9,86.0
1684,2016072413,3,21.1,83.0
1684,2016072414,3,22.5,76.0
1684,2016072415,3,23.1,74.0
1684,2016072416,3,22.7,76.0
1684,2016072417,3,22.5,75.0
1684,2016072418,3,22.0,78.0
1684,2016072419,3,20.6,84.0
1684,2016072420,3,20.1,86.0
1684,2016072421,3,18.8,91.0
1684,2016072422,3,18.6,94.0
1684,2016072423,3,18.0,96.0
1684,2016072500,3,17.3,98.0
1684,2016072501,3,16.5,99.0
1684,2016072502,3,16.9,100.0
1684,2016072503,3,16.1,100.0
1684,2016072504,3,16.0,100.0
1684,2016072505,3,17.3,99.0
1684,2016072506,3,18.7,91.0
1684,2016072507,3,21.9,82.0
