"STATIONS_ID","MESS_DATUM_BEGINN","MESS_DATUM_ENDE","QN_4","MO_N","MO_TT","MO_TX","MO_TN","MO_FK","MX_TX","MX_FX","MX_TN","MO_SD_S","QN_6","MO_RR","MX_RS","eor"
1358,1980-06-01,19800630,5,"  6.58","   8.44","   12.61","    5.90",4.43,"  22.0","  31.0","   0.8"," 145.90",5,"    97.0","   12.7","eor"
1358,1981-06-01,19810630,10,"  6.41","   9.70","   14.37","    6.68",4.25,"  22.8","  28.0","  -0.4"," 162.00",10,"    73.3","   24.7","eor"
1358,1982-06-01,19820630,10,"  5.51","  10.51","   14.48","    7.51",4.36,"  24.8","  26.0","   1.1"," 188.80",10,"    94.6","   15.8","eor"
1358,1983-06-01,19830630,10,"  5.49","  10.68","   14.86","    7.37",3.27,"  21.6","  20.0","   0.4"," 185.40",10,"    69.2","   17.7","eor"
1358,1984-06-01,19840630,10,"  6.40","   7.49","   11.52","    4.63",4.66,"  20.3","-999","   1.0"," 134.10",10,"   137.0","   25.4","eor"
1358,1985-06-01,19850630,10,"  6.52","   6.82","   10.63","    4.02",4.55,"  20.5","  27.0","  -0.1"," 136.50",10,"    98.5","    9.8","eor"
1358,1986-06-01,19860630,10,"  5.17","   9.48","   13.38","    6.28",3.73,"  21.3","  27.0","  -0.9"," 212.50",10,"    73.3","   13.6","eor"
1358,1987-06-01,19870630,10,"  6.51","   8.37","   12.03","    5.88",4.68,"  23.7","  26.0","   1.2"," 123.70",10,"   114.5","   17.7","eor"
1358,1988-06-01,19880630,10,"  6.23","   8.90","   12.15","    6.57",3.9,"  19.4","  24.0","   1.7"," 133.60",10,"   124.8","   24.2","eor"
1358,1989-06-01,19890630,10,"  5.43","   9.22","   12.98","    6.33",4.03,"  20.3","  23.0","   0.5"," 206.20",10,"    69.1","   13.1","eor"
1358,1990-06-01,19900630,10,"  6.33","   9.68","   13.61","    7.02",4.29,"  22.3","  26.0","   2.4"," 146.90",10,"   118.9","   33.7","eor"
1358,1991-06-01,19910630,10,"  6.13","   7.60","   11.65","    4.30",5.29,"  19.8","  40.8","  -1.1"," 176.50",9,"   127.0","   42.3","eor"
1358,1992-06-01,19920630,10,"  5.73","  11.50","   14.82","    8.70",3.37,"  20.6","  24.2","   2.7"," 157.00",9,"   150.4","   27.4","eor"
1358,1993-06-01,19930630,10,"  5.83","   9.30","   12.95","    6.30",4.05,"  21.6","  25.7","   1.1"," 138.90",9,"   130.4","   23.5","eor"
1358,1994-06-01,19940630,10,"  5.63","  10.20","   14.49","    6.95",4.46,"  24.6","  32.4","  -0.2"," 174.40",9,"    51.0","   15.0","eor"
1358,1995-06-01,19950630,10,"  6.35","   8.03","   11.28","    5.54",3.79,"  19.6","  31.4","   1.6"," 107.80",9,"   142.4","   26.6","eor"
1358,1996-06-01,19960630,10,"  5.58","   9.86","   13.67","    6.80",3.65,"  25.4","  23.1","   1.2"," 168.40",9,"   125.9","   25.9","eor"
1358,1997-06-01,19970630,10,"  6.00","   9.58","   13.17","    6.78",3.89,"  23.8","  23.1","  -0.8"," 147.50",9,"    56.4","   10.1","eor"
1358,1998-06-01,19980630,10,"  5.80","  11.04","   14.65","    7.96",3.86,"  24.7","  24.7","   0.2"," 171.00",9,"   169.6","   41.1","eor"
1358,1999-06-01,19990630,10,"  6.24","   8.94","   12.60","    6.19",3.46,"  19.8","  24.0","   1.5"," 127.70",9,"    74.5","   15.7","eor"
1358,2000-06-01,20000630,10,"  4.66","  11.39","   15.66","    7.68",4.07,"  24.9","  23.0","   0.1"," 237.30",9,"   110.4","   30.9","eor"
1358,2001-06-01,20010630,10,"  6.50","   7.97","   11.36","    5.17",4.27,"  22.8","  27.5","  -0.9"," 130.40",9,"    89.1","   11.7","eor"
1358,2002-06-01,20020630,10,"  5.48","  11.62","   15.33","    8.26",4.4,"  24.1","  29.3","   3.1"," 198.40",9,"    94.1","   33.9","eor"
1358,2003-06-01,20030630,10,"  4.28","  13.85","   17.91","   10.20",4.13,"  24.3","  30.6","   3.3"," 269.70",9,"    74.9","   25.1","eor"
1358,2004-06-01,20040630,10,"  5.86","   9.28","   13.24","    6.04",4.77,"  21.4","  30.2","   2.4"," 146.60",9,"   101.7","   20.0","eor"
1358,2005-06-01,20050630,10,"  5.33","  10.24","   14.07","    6.83",4.37,"  22.9","  22.9","  -1.0"," 224.90",9,"   128.3","   38.5","eor"
1358,2006-06-01,20060630,10,"  4.86","  11.26","   15.25","    7.80",3.8,"  22.4","  29.2","  -1.2"," 217.60",9,"    61.5","   12.2","eor"
1358,2007-06-01,20070630,10,"  5.82","  12.14","   15.92","    8.89",4.43,"  21.7","  30.3","   1.9"," 170.30",9,"   120.8","   49.7","eor"
1358,2008-06-01,20080630,10,"  5.19","  11.80","   15.53","    8.45",3.93,"  23.6","  30.9","   2.2"," 191.00",9,"    70.0","   17.6","eor"
1358,2009-06-01,20090630,10,"  6.55","   8.66","   12.06","    5.81",4.53,"  18.5","  30.8","  -0.1"," 119.20",9,"   125.8","   25.6","eor"
