Jahr;Monat;Gestorbene;Sterbefälleje1000Einwohner
1990;Januar;93601;13.9
1990;Februar;78118;12.9
1990;März;78911;11.7
1990;April;75418;11.6
1990;Mai;74065;11
1990;Juni;71616;11
1990;Juli;71222;10.5
1990;August;72310;10.7
1990;September;71742;11
1990;Oktober;76796;11.3
1990;November;74925;11.4
1990;Dezember;82721;12.2
1991;Januar;80593;11.9
1991;Februar;78020;12.7
1991;März;81097;12
1991;April;74701;11.4
1991;Mai;75918;11.2
1991;Juni;71527;10.9
1991;Juli;74402;11
1991;August;70497;10.4
1991;September;68215;10.4
1991;Oktober;75505;11.1
1991;November;76619;11.6
1991;Dezember;84151;12.3
1992;Januar;81761;12
1992;Februar;75456;11.8
1992;März;77424;11.3
1992;April;74308;11.2
1992;Mai;72910;10.7
1992;Juni;68606;10.4
1992;Juli;70455;10.3
1992;August;71260;10.4
1992;September;68658;10.3
1992;Oktober;75074;10.9
1992;November;73045;11
1992;Dezember;76486;11.1
1993;Januar;81535;11.9
1993;Februar;73271;11.8
1993;März;89611;13
1993;April;75661;11.4
1993;Mai;71199;10.3
1993;Juni;67576;10.1
1993;Juli;69470;10.1
1993;August;68081;9.9
1993;September;68731;10.3
1993;Oktober;73481;10.6
1993;November;74935;11.2
1993;Dezember;83719;12.1
1994;Januar;82514;11.9
1994;Februar;73073;11.7
1994;März;78061;11.3
1994;April;71545;10.7
1994;Mai;70216;10.2
1994;Juni;71294;10.7
1994;Juli;75759;11
1994;August;72474;10.5
1994;September;68421;10.2
1994;Oktober;74724;10.8
1994;November;70393;10.5
1994;Dezember;76187;11
1995;Januar;79171;11.4
1995;Februar;69053;11
1995;März;83907;12.1
1995;April;77097;11.5
1995;Mai;72513;10.5
1995;Juni;67852;10.1
1995;Juli;71140;10.3
1995;August;68075;9.8
1995;September;67506;10
1995;Oktober;71386;10.3
1995;November;72188;10.7
1995;Dezember;84700;12.2
1996;Januar;94684;13.6
1996;Februar;81447;12.5
1996;März;79053;11.4
1996;April;72679;10.8
1996;Mai;70589;10.2
1996;Juni;68175;10.1
1996;Juli;67805;9.7
1996;August;66041;9.5
1996;September;66094;9.8
1996;Oktober;70574;10.1
1996;November;69219;10.3
1996;Dezember;76483;11
1997;Januar;83490;12
1997;Februar;75162;11.9
1997;März;75100;10.8
1997;April;70517;10.5
1997;Mai;70228;10.1
1997;Juni;67290;10
