STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1051;19350101;19350131;    5;  -999;  -0.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19350201;19350228;    5;  -999;   2.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19350301;19350331;    5;  -999;   2.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19350401;19350430;    5;  -999;   8.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19350501;19350531;    5;  -999;  11.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19350601;19350630;    5;  -999;  19.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19350701;19350731;    5;  -999;  18.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19350801;19350831;    5;  -999;  17.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19350901;19350930;    5;  -999;  15.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19351001;19351031;    5;  -999;   9.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19351101;19351130;    5;  -999;   6.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19351201;19351231;    5;  -999;   1.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1051;19360101;19360131;    1;  5.49;   3.70;    6.58;    1.06;    2.67;  13.1;-999;  -4.3;  74.20;    1;    47.2;   12.4;eor
       1051;19360201;19360229;    1;  6.10;   1.10;    3.84;   -1.57;    3.03;  10.5;-999; -14.4;  53.60;    1;    34.0;   13.0;eor
       1051;19360301;19360331;    1;  5.01;   5.90;   10.77;    2.10;    2.44;  19.0;-999;  -3.0; 122.00;    1;    31.0;    6.5;eor
       1051;19360401;19360430;    1;  5.00;   7.88;   13.09;    3.31;    2.73;  21.5;-999;  -2.0; 152.70;    1;    37.5;    5.6;eor
       1051;19360501;19360531;    1;  5.23;  13.58;   18.15;    8.56;    1.86;  24.1;-999;   3.8; 166.80;    1;    77.3;   20.4;eor
       1051;19360601;19360630;    1;  3.84;  17.04;   22.93;   11.01;    2.09;  30.5;-999;   5.5; 252.50;    1;    65.2;   20.5;eor
       1051;19360701;19360731;    1;  5.00;  18.43;   23.91;   13.74;    2.25;  32.8;-999;  10.5; 193.20;    1;    69.9;   11.8;eor
       1051;19360801;19360831;    1;  4.37;  16.89;   22.97;   11.53;    2.37;  29.2;-999;   5.2; 222.80;    1;    30.4;    8.8;eor
       1051;19360901;19360930;    1;  4.05;  13.44;   19.66;    8.72;    2.29;  27.5;-999;  -1.0; 154.90;    1;    29.8;    8.5;eor
       1051;19361001;19361031;    1;  6.42;   6.95;    9.83;    4.04;    3.25;  16.0;-999;  -2.5;  54.00;    1;    47.9;    8.3;eor
       1051;19361101;19361130;    1;  5.65;   4.23;    6.88;    1.42;    2.25;  13.2;-999;  -4.1;  66.20;    1;    35.1;    9.0;eor
       1051;19361201;19361231;    1;  4.65;   2.35;    5.10;   -0.09;    2.93;  13.4;-999;  -6.2;  85.70;    1;    23.0;    5.1;eor
       1051;19370101;19370131;    1;  4.98;  -1.58;    0.61;   -3.86;    3.47;  11.2;-999; -10.0;  81.80;    1;    23.3;    7.1;eor
       1051;19370201;19370228;    1;  6.13;   2.67;    5.85;   -0.08;    3.23;  11.7;-999;  -6.4;  54.10;    1;    49.4;    7.5;eor
       1051;19370301;19370331;    1;  5.99;   4.50;    7.89;    1.40;    2.65;  14.0;-999;  -2.6;  71.70;    1;    39.8;    8.3;eor
       1051;19370401;19370430;    1;  5.92;   9.09;   13.00;    5.61;    2.43;  17.1;-999;   2.1;  90.80;    1;    64.9;   12.8;eor
       1051;19370501;19370531;    1;  3.99;  15.98;   23.02;    9.83;    1.91;  29.6;-999;   2.9; 256.60;    1;    91.0;   25.0;eor
       1051;19370601;19370630;    1;  4.41;  17.64;   23.46;   12.49;    2.27;  33.6;-999;   6.3; 220.10;    1;    78.7;   42.0;eor
       1051;19370701;19370731;    1;  4.70;  17.76;   22.96;   13.27;    2.55;  30.0;-999;  10.4; 180.60;    1;   154.2;   77.0;eor
       1051;19370801;19370831;    1;  5.19;  17.35;   23.20;   13.15;    1.85;  30.1;-999;   8.6; 176.10;    1;   113.9;   24.0;eor
       1051;19370901;19370930;    1;  4.82;  14.27;   19.94;   10.00;    2.01;  28.4;-999;   5.0; 136.10;    1;    43.9;   14.7;eor
       1051;19371001;19371031;    1;  4.09;  10.21;   14.64;    6.94;    2.39;  22.5;-999;   1.6; 135.50;    1;    60.4;   25.4;eor
       1051;19371101;19371130;    1;  5.94;   4.12;    6.39;    1.16;    2.75;  13.4;-999;  -4.2;  57.60;    1;    22.9;    3.0;eor
       1051;19371201;19371231;    1;  5.86;   0.36;    2.86;   -2.28;    2.32;   9.5;-999; -10.2;  44.80;    1;-999;-999;eor
       1051;19380101;19380131;    1;  6.29;   2.13;    4.86;   -0.98;    3.63;  11.7;-999; -14.5;  35.70;    1;    56.1;   10.1;eor
       1051;19380201;19380228;    1;  4.73;   1.70;    5.64;   -1.69;    2.80;  13.0;-999;  -7.5; 110.70;    1;    25.1;   16.1;eor
       1051;19380301;19380331;    1;  4.32;   8.09;   13.20;    3.48;    3.50;  21.7;-999;  -3.1; 138.00;    1;    20.8;    5.0;eor
       1051;19380401;19380430;    1;  5.67;   5.86;   10.07;    1.89;    3.41;  16.1;-999;  -4.0; 111.40;    1;    19.9;    4.0;eor
       1051;19380501;19380531;    1;  3.75;  11.91;   17.77;    5.80;    2.75;  29.0;-999;  -1.8;-999;    1;     0.0;    0.0;eor
       1051;19380601;19380630;    1;  3.93;  17.05;   22.52;   11.18;    2.38;  29.9;-999;   5.4; 222.20;    1;    26.7;   10.7;eor
       1051;19380701;19380731;    1;  4.35;  18.00;   23.95;   12.91;    1.97;  32.4;-999;   8.5; 203.30;    1;   106.4;   36.3;eor
       1051;19380801;19380831;    1;  4.84;  18.84;   24.63;   13.94;    2.21;  32.8;-999;  10.4; 198.90;    1;    90.2;   21.6;eor
       1051;19380901;19380930;    1;  3.62;  13.99;   20.32;    9.44;    2.37;  26.4;-999;   3.1; 185.60;    1;    39.4;   24.1;eor
       1051;19381001;19381031;    1;  5.86;   9.81;   13.66;    6.74;    2.43;  20.2;-999;  -1.1;  74.10;    1;    44.8;   10.9;eor
       1051;19381101;19381130;    1;  4.89;   7.16;   10.74;    4.22;    2.92;  18.0;-999;  -1.2;-999;    1;     0.0;    0.0;eor
       1051;19381201;19381231;    1;  5.58;  -1.05;    1.51;   -3.85;    2.75;  11.6;-999; -15.8;  56.30;    1;    31.6;    8.3;eor
       1051;19390101;19390131;    1;  6.25;   3.21;    5.90;    0.05;    2.49;  15.0;-999; -11.0;  43.30;    1;    27.5;    3.5;eor
       1051;19390201;19390228;    1;  4.52;   2.96;    6.71;   -0.30;    2.46;  13.5;-999;  -8.5;  84.80;    1;    27.2;    5.9;eor
       1051;19390301;19390331;    1;  6.21;   2.25;    5.80;   -0.82;    2.73;  13.9;-999; -10.0; 241.10;    1;    53.4;    7.3;eor
       1051;19390401;19390430;    1;  5.04;   9.96;   15.66;    5.31;    2.21;  25.8;-999;  -2.3; 139.90;    1;    35.5;    6.8;eor
       1051;19390501;19390531;    1;  6.18;  11.04;   15.28;    7.44;    2.10;  22.4;-999;   2.4; 102.10;    1;    69.5;   13.4;eor
       1051;19390601;19390630;    1;  4.35;  16.71;   22.84;   11.08;    1.65;  31.0;-999;   4.0; 201.30;    1;   115.1;   43.1;eor
       1051;19390701;19390731;    1;  -999;  18.25;   24.83;   13.22;-999;  30.6;-999;   8.0; 221.30;    1;   124.6;   34.9;eor
       1051;19390801;19390831;    1;  3.91;  18.25;   25.35;   13.05;    1.51;  31.4;-999;  10.3; 216.30;    1;    69.8;   27.3;eor
       1051;19390901;19390930;    1;  4.86;  14.09;   20.18;   10.22;    1.33;  29.0;-999;   0.2; 146.30;    1;    64.0;   15.0;eor
       1051;19391001;19391031;    1;  6.50;   6.99;   10.69;    3.79;    1.77;  19.7;-999;  -2.4;-999;    1;     0.0;    0.0;eor
       1051;19391101;19391130;    1;  6.05;   5.97;    9.14;    3.11;    2.53;  14.8;-999;  -8.5;  61.70;    1;    74.2;   18.0;eor
       1051;19391201;19391231;    1;  5.57;  -1.90;    1.16;   -5.29;    2.28;  12.0;-999; -17.8;  46.40;    1;    72.4;   31.5;eor
       1051;19400101;19400131;    1;  4.80;  -9.45;   -5.53;  -13.84;    1.85;   2.6;-999; -23.5;  61.50;    1;    18.8;    6.0;eor
       1051;19400201;19400229;    1;  5.21;  -4.78;   -0.58;   -9.27;    2.51;  15.3;-999; -20.4; 102.70;    1;    18.1;    5.2;eor
       1051;19400301;19400331;    1;  5.70;   3.20;    7.74;   -0.54;    2.72;  17.3;-999;  -7.2;  95.60;    1;    69.9;   13.0;eor
       1051;19400401;19400430;    1;  3.82;   9.26;   14.99;    3.75;    1.89;  26.9;-999;  -4.0; 183.40;    1;    31.1;   10.5;eor
       1051;19400501;19400531;    1;  5.88;  12.48;   17.70;    7.78;    2.07;  29.0;-999;   2.1;-999;    1;     0.0;    0.0;eor
       1051;19400601;19400630;    1;  4.47;  17.86;   23.78;   11.45;    1.66;  28.2;-999;   7.1;-999;    1;    97.6;   56.0;eor
       1051;19400701;19400731;    1;  5.06;  17.14;   22.81;   12.40;    2.03;  29.0;-999;   8.8; 194.70;    1;   139.9;   41.6;eor
       1051;19400801;19400831;    1;  5.25;  15.18;   20.13;   10.77;    1.84;  28.7;-999;   4.9; 157.70;    1;    84.3;   18.1;eor
       1051;19400901;19400930;    1;  5.71;  13.07;   18.20;    9.42;    1.87;  27.0;-999;   4.1;  98.60;    1;   127.4;   46.9;eor
       1051;19401001;19401031;    1;  4.93;   8.40;   12.83;    4.31;    1.74;  20.0;-999;  -5.5; 113.00;    1;    30.9;   14.0;eor
       1051;19401101;19401130;    1;  4.90;   6.31;   10.47;    2.93;    2.20;  17.0;-999;  -1.0;  84.00;    1;    83.2;   40.0;eor
       1051;19401201;19401231;    1;  5.17;  -2.63;    0.21;   -5.60;    2.15;   6.2;-999; -16.3;  49.40;    1;    47.7;   14.0;eor
       1051;19410101;19410131;    1;  6.24;  -4.85;   -2.52;   -7.73;    2.22;   8.9;-999; -13.6;  45.00;    1;    39.5;    6.4;eor
       1051;19410201;19410228;    1;  5.59;   0.85;    4.25;   -2.64;    1.88;  13.5;-999; -13.2;  64.20;    1;    55.3;   15.3;eor
       1051;19410301;19410331;    1;  5.25;   3.75;    8.07;    0.00;    2.07;  17.6;-999;  -6.5; 105.80;    1;    61.5;   18.0;eor
       1051;19410401;19410430;    1;  6.30;   6.40;   10.45;    2.40;    2.05;  19.1;-999;  -2.6; 107.50;    1;    57.4;   15.0;eor
       1051;19410501;19410531;    1;  6.24;   9.76;   15.16;    5.03;    1.69;  26.7;-999;  -1.6; 131.20;    1;   206.6;   49.2;eor
       1051;19410601;19410630;    1;  4.30;  17.04;   22.60;   10.65;    1.54;  31.5;-999;   5.6; 220.40;    1;    63.9;   11.0;eor
       1051;19410701;19410731;    1;  4.49;  18.95;   24.92;   13.66;    1.69;  32.3;-999;   7.7; 231.20;    1;   123.1;   46.7;eor
       1051;19410801;19410831;    1;  5.50;  16.17;   22.00;   11.98;    1.82;  30.9;-999;   8.6; 166.90;    1;   181.9;   58.0;eor
       1051;19410901;19410930;    1;  4.02;  12.28;   18.27;    7.84;    1.85;  25.0;-999;   2.8; 170.70;    1;    81.6;   23.7;eor
       1051;19411001;19411031;    1;  5.76;   8.57;   12.60;    5.40;    2.03;  21.5;-999;  -2.0;  81.40;    1;   135.9;   21.5;eor
       1051;19411101;19411130;    1;  5.20;   2.35;    4.78;   -0.04;    2.55;   9.5;-999;  -6.0;  67.50;    1;    46.0;    9.5;eor
       1051;19411201;19411231;    1;  6.62;   2.26;    4.63;   -0.86;    2.59;  13.8;-999; -11.6;  36.00;    1;    80.8;   13.1;eor
       1051;19420101;19420131;    1;  4.82;  -8.12;   -5.05;  -11.67;    1.73;   7.0;-999; -21.8;  53.00;    1;    28.1;    6.5;eor
       1051;19420201;19420228;    1;  6.52;  -4.82;   -1.74;   -8.19;    1.71;   2.8;-999; -18.9;  31.80;    1;    28.7;    5.0;eor
       1051;19420301;19420331;    1;  4.08;   1.30;    5.51;   -2.76;    1.98;  14.0;-999; -13.6;-999;    1;     0.0;    0.0;eor
       1051;19420401;19420430;    1;  4.52;   8.30;   13.19;    3.25;    2.11;  19.1;-999;  -1.4; 155.30;    1;    18.6;   10.1;eor
       1051;19420501;19420531;    1;  4.85;  13.98;   19.88;    8.50;    1.82;  30.4;-999;   0.0;-999;    1;    62.4;   15.4;eor
       1051;19420601;19420630;    1;  4.53;  15.29;   21.59;    8.94;    1.67;  31.4;-999;   4.0;-999;    1;     0.0;    0.0;eor
       1051;19420701;19420731;    1;  5.20;  17.35;   23.19;   12.21;    1.52;  32.3;-999;   7.2; 198.40;    1;   106.3;   22.0;eor
       1051;19420801;19420831;    1;  3.17;  18.09;   26.45;   11.80;    0.89;  34.7;-999;   5.7; 237.20;    1;    43.0;   17.1;eor
       1051;19420901;19420930;    1;  4.31;  16.18;   23.34;   11.27;    1.54;  32.4;-999;   6.2; 174.50;    1;    44.2;   17.0;eor
       1051;19421001;19421031;    1;  4.27;  11.43;   17.12;    7.19;    2.01;  27.7;-999;  -0.6; 144.10;    1;   141.6;   37.4;eor
       1051;19421101;19421130;    1;  6.95;   4.17;    6.31;    1.78;    1.82;  16.3;-999;  -5.0;  16.80;    1;    40.0;    8.6;eor
       1051;19421201;19421231;    1;  3.82;   2.28;    5.12;   -0.35;    1.97;  11.8;-999;  -9.1;  88.00;    1;    13.4;    3.8;eor
       1051;19430101;19430131;    1;  5.18;  -1.08;    1.93;   -3.82;    2.36;  11.6;-999; -12.4;  67.50;    1;    24.8;    4.5;eor
       1051;19430201;19430228;    1;  4.41;   3.98;    8.43;    0.20;    2.17;  18.3;-999;  -5.0;  95.20;    1;    19.1;    4.8;eor
       1051;19430301;19430331;    1;  2.63;   6.58;   13.11;    0.99;    1.89;  21.9;-999;  -5.0; 187.80;    1;    11.3;    6.8;eor
       1051;19430401;19430430;    1;  4.37;  10.39;   16.15;    5.14;    2.20;  27.0;-999;  -0.4; 158.30;    1;    29.5;    6.0;eor
       1051;19430501;19430531;    1;  2.83;  13.68;   20.95;    6.07;    1.72;  31.4;-999;  -1.1; 311.90;    1;    42.4;   25.0;eor
       1051;19430601;19430630;    1;  4.91;  15.53;   21.54;   10.68;    1.30;  30.0;-999;   6.0; 164.50;    1;    98.2;   25.9;eor
       1051;19430701;19430731;    1;  3.88;  18.59;   25.71;   12.15;    1.03;  34.4;-999;   8.5; 248.20;    1;    28.5;   11.5;eor
       1051;19430801;19430831;    1;  4.19;  19.49;   26.20;   14.37;    1.70;  38.0;-999;   8.0; 218.20;    1;    65.8;   10.9;eor
       1051;19430901;19430930;    1;  5.14;  14.79;   20.92;   10.41;    0.81;  31.7;-999;   2.9; 123.80;    1;    66.8;   21.1;eor
       1051;19431001;19431031;    1;  2.69;   9.73;   17.09;    4.73;    1.53;  22.2;-999;  -2.8; 186.00;    1;     0.9;    0.9;eor
       1051;19431101;19431130;    1;  5.78;   3.53;    7.03;    0.57;    1.92;  16.0;-999;  -5.0;  62.70;    1;    24.9;    7.8;eor
       1051;19431201;19431231;    1;  5.04;  -0.25;    2.20;   -2.95;    1.64;   8.0;-999; -10.2;  45.20;    1;    21.2;    6.0;eor
       1051;19440101;19440131;    1;  6.93;   4.17;    6.41;    1.78;    2.69;  11.4;-999;  -3.3;  29.80;    1;    85.1;   18.7;eor
       1051;19440201;19440229;    1;  6.53;  -0.75;    2.47;   -3.32;    1.89;  13.0;-999; -11.0;  43.90;    1;    81.5;   13.6;eor
       1051;19440301;19440331;    1;  6.79;   1.42;    4.41;   -0.61;    2.13;  11.0;-999;  -4.0;  54.20;    1;    65.4;    9.9;eor
       1051;19440401;19440430;    1;  5.24;   9.06;   14.40;    4.68;    1.47;  22.4;-999;  -2.3; 133.10;    1;    43.2;   11.3;eor
       1051;19440501;19440531;    1;  4.47;  12.29;   18.83;    6.83;    1.50;  31.5;-999;   0.3; 195.20;    1;    45.6;    8.9;eor
       1051;19440601;19440630;    1;  5.94;  15.56;   21.26;   11.03;    1.72;  27.7;-999;   5.5; 159.30;    1;    54.3;    6.2;eor
       1051;19440701;19440731;    1;  5.37;  18.84;   25.41;   13.36;    1.58;  32.5;-999;   9.0; 206.60;    1;    75.1;   21.4;eor
       1051;19440801;19440831;    1;  3.48;  20.54;   28.65;   14.05;    1.23;  35.1;-999;   6.9; 272.80;    1;    30.2;   13.4;eor
       1051;19440901;19440930;    1;  3.94;  13.56;   21.44;    8.08;    1.04;  29.7;-999;   2.0; 197.40;    1;    56.2;   41.1;eor
       1051;19441001;19441031;    1;  6.01;   9.43;   14.46;    5.92;    1.11;  20.0;-999;   0.0;  83.40;    1;    74.4;   24.4;eor
       1051;19441101;19441130;    1;  6.48;   4.96;    8.18;    2.28;    1.94;  15.5;-999;  -4.0;  43.90;    1;    51.2;   10.0;eor
       1051;19441201;19441231;    1;  4.50;  -0.42;    2.93;   -3.14;    1.81;   9.8;-999; -13.0;  79.40;    1;    13.7;    5.3;eor
       1051;19450101;19450131;    1;  5.74;  -3.18;    0.29;   -7.17;    1.88;   6.5;-999; -12.6;  46.30;    1;-999;-999;eor
       1051;19450601;19450630;    1;  4.19;  17.59;   23.88;   11.83;    1.47;  32.5;-999;   7.2; 237.20;    1;    65.4;   19.3;eor
       1051;19450701;19450731;    1;  4.75;  18.86;   25.06;   13.75;    1.72;  33.7;-999;  10.1; 223.30;    1;    50.9;   15.6;eor
       1051;19450801;19450831;    1;  5.99;  17.07;   22.97;   12.89;    1.43;  31.0;-999;   9.4; 139.50;    1;   209.1;   43.5;eor
       1051;19450901;19450930;    1;  4.22;  13.84;   20.71;    9.11;    1.23;  30.5;-999;   3.9; 178.10;    1;    36.2;   15.9;eor
       1051;19451001;19451031;    1;  5.67;  10.41;   15.12;    7.09;    1.84;  21.2;-999;   0.0; 100.10;    1;    38.7;   12.7;eor
       1051;19451101;19451130;    1;  6.86;   4.78;    7.37;    2.51;    1.72;  21.8;-999;  -1.2;  40.90;    1;    72.4;   26.1;eor
       1051;19451201;19451231;    1;  6.48;   1.92;    4.48;   -0.67;    2.28;  12.1;-999; -13.3;  50.70;    1;    59.2;   11.8;eor
       1051;19460101;19460131;    1;  4.73;  -1.39;    1.89;   -5.11;    2.55;  13.2;-999; -15.4;  98.60;    1;    19.9;    7.4;eor
       1051;19460201;19460228;    1;  7.07;   2.93;    6.04;    0.19;    2.74;  13.0;-999;  -7.6;  34.50;    1;   167.5;   54.5;eor
       1051;19460301;19460331;    1;  5.71;   4.51;    8.75;    1.13;    1.35;  18.0;-999;  -7.4;  91.10;    1;    22.5;   12.8;eor
       1051;19460401;19460430;    1;  3.34;  10.28;   17.51;    4.22;    1.16;  26.1;-999;   0.4; 210.00;    1;    32.2;   11.9;eor
       1051;19460501;19460531;    1;  4.12;  15.37;   22.51;    8.98;    1.36;  29.8;-999;   1.0; 237.70;    1;    31.4;    8.6;eor
       1051;19460601;19460630;    1;  5.50;  16.14;   21.76;   11.34;    1.50;  31.0;-999;   6.4; 173.40;    1;   126.6;   51.8;eor
       1051;19460701;19460731;    1;  4.37;  19.39;   25.81;   14.40;    1.27;  35.0;-999;   8.0; 212.80;    1;   142.1;   40.2;eor
       1051;19460801;19460831;    1;  4.98;  16.99;   22.73;   13.22;    1.12;  30.0;-999;   9.5; 155.00;    1;    61.2;   25.0;eor
       1051;19460901;19460930;    1;  4.20;  14.81;   21.36;   10.56;    1.49;  26.2;-999;   6.4;-999;    1;    26.2;    9.2;eor
       1051;19461001;19461031;    1;  5.52;   7.02;   10.80;    3.81;    1.98;  19.6;-999;  -6.2; 109.00;    1;    87.9;   14.9;eor
       1051;19461101;19461130;    1;  5.73;   4.04;    7.14;    1.66;    1.75;  13.6;-999;  -2.4;  66.70;    1;    16.6;    3.5;eor
       1051;19461201;19461231;    1;  5.15;  -2.65;    0.56;   -5.52;    1.35;  10.1;-999; -19.4;  74.20;    1;    25.4;   11.7;eor
       1051;19470101;19470131;    1;  5.25;  -5.44;   -2.29;   -8.57;    1.71;   9.5;-999; -19.5;  76.30;    1;    22.1;    3.8;eor
       1051;19470201;19470228;    1;  5.94;  -7.56;   -4.21;  -11.11;    2.04;   2.8;-999; -20.0;  51.30;    1;    17.8;    5.3;eor
       1051;19470301;19470331;    1;  5.78;   3.12;    7.54;   -1.25;    1.91;  18.5;-999; -18.5;  88.80;    1;    44.8;    9.2;eor
       1051;19470401;19470430;    1;  5.35;  10.57;   16.80;    5.28;    1.95;  25.5;-999;  -0.5; 189.50;    1;    26.0;    5.5;eor
       1051;19470501;19470531;    1;  3.66;  15.17;   21.93;    8.18;    1.61;  30.2;-999;   0.0;-999;    1;    23.1;    7.6;eor
       1051;19470601;19470630;    1;  3.72;  18.36;   25.18;   12.05;    1.29;  35.2;-999;   4.5; 265.50;    1;    46.1;   11.0;eor
       1051;19470701;19470731;    1;  2.80;  19.56;   26.11;   13.81;    1.22;  37.6;-999;   9.5; 267.20;    1;    17.4;    5.0;eor
       1051;19470801;19470831;    1;  3.80;  18.20;   24.82;   12.41;    1.27;  35.0;-999;   5.0;-999;    1;    40.0;   10.4;eor
       1051;19470901;19470930;    1;  3.88;  17.50;   24.84;   11.11;    1.13;  32.8;-999;   5.1; 194.80;    1;    14.7;    5.3;eor
       1051;19471001;19471031;    1;  2.89;   6.90;   14.10;    1.60;    1.16;  23.5;-999;  -6.5;-999;    1;     9.2;    4.9;eor
       1051;19471101;19471130;    1;  7.07;   6.21;    8.83;    3.47;    1.93;  16.2;-999;  -5.0;-999;    1;   143.2;   42.2;eor
       1051;19471201;19471231;    1;  6.35;   1.77;    3.93;   -0.45;    1.54;  10.5;-999; -13.0;  29.10;    1;    96.9;   12.5;eor
       1051;19480101;19480131;    1;  5.67;   4.36;    7.18;    1.65;    1.62;  13.2;-999;  -4.5;  45.50;    1;    67.5;   23.3;eor
       1051;19480201;19480229;    1;  5.97;   0.54;    4.02;   -2.43;    1.64;  12.8;-999; -16.5;  65.50;    1;    84.0;   19.5;eor
       1051;19480301;19480331;    1;  4.28;   6.12;   12.42;    1.17;    1.25;  20.1;-999;  -4.5; 152.10;    1;    18.4;    6.8;eor
       1051;19480401;19480430;    1;  4.35;  11.41;   17.69;    6.40;    1.64;  26.4;-999;   0.0; 199.40;    1;    32.2;   14.0;eor
       1051;19480501;19480531;    1;  4.75;  14.46;   20.74;    8.95;    1.46;  28.4;-999;   3.6; 208.80;    1;    43.4;   10.3;eor
